year, month, day, tmax, tavg, tmin, humid, wind, sunshine, rainfall, snow, cloud
2024, 1, 1, 6.5, 2.1, -2.2, 84.8, 0.9, 3.9, 0.0, 0.0, 5.8
2024, 1, 2, 4.8, 2.5, 0.4, 78.4, 1.1, 0.4, 0.0, 0.0, 9.0
2024, 1, 3, 3.8, 1.1, -0.8, 84.3, 1.0, 0.2, 1.9, 0.0, 6.1
2024, 1, 4, 5.5, 1.2, -4.7, 73.3, 1.5, 1.8, 0.0, 0.0, 6.4
2024, 1, 5, 9.3, 4.1, 0.0, 79.4, 1.7, 4.5, 0.0, 0.0, 3.3
2024, 1, 6, 5.0, 0.4, -3.6, 67.5, 1.6, 9.0, 0.6, 2.1, 1.8
2024, 1, 7, -1.0, -4.1, -7.5, 55.6, 3.0, 9.2, 0.0, 2.0, 0.0
2024, 1, 8, 0.0, -4.6, -10.4, 57.5, 1.2, 9.1, 0.0, 0.0, 3.8
2024, 1, 9, 0.5, -0.4, -2.5, 83.1, 0.9, 0.0, 3.0, 1.6, 9.3
2024, 1, 10, 2.0, -1.3, -3.6, 85.1, 1.3, 4.1, 0.0, 1.4, 0.0
2024, 1, 11, 4.0, 0.8, -2.9, 80.4, 1.5, 0.3, 0.0, 0.0, 8.6
2024, 1, 12, 5.3, 0.8, -2.5, 66.4, 1.5, 9.1, 0.0, 0.0, 0.0
2024, 1, 13, 6.3, -0.2, -5.2, 48.9, 1.0, 9.3, 0.0, 0.0, 0.0
2024, 1, 14, 3.1, -0.7, -4.5, 79.4, 1.7, 1.3, 2.5, 0.0, 5.3
2024, 1, 15, 1.9, -3.2, -6.2, 47.6, 2.2, 9.4, 0.0, 0.0, 0.0
2024, 1, 16, 3.2, -2.7, -8.2, 54.3, 1.0, 8.4, 0.0, 0.0, 3.5
2024, 1, 17, 2.6, 0.9, -4.5, 82.3, 0.9, 0.0, 10.4, 0.0, 9.6
2024, 1, 18, 8.8, 4.9, 1.0, 81.6, 1.4, 4.2, 1.2, 0.0, 7.8
2024, 1, 19, 9.5, 6.4, 4.8, 59.6, 3.5, 3.9, 0.0, 0.0, 8.0
2024, 1, 20, 5.7, 3.8, 1.8, 72.0, 3.2, 0.0, 1.4, 0.0, 9.4
2024, 1, 21, 4.8, 1.9, -2.0, 77.5, 2.0, 0.0, 0.0, 0.0, 8.8
2024, 1, 22, -2.0, -7.8, -11.2, 64.9, 4.3, 6.1, 0.2, 1.3, 5.9
2024, 1, 23, -8.0, -10.8, -13.1, 54.9, 3.7, 7.4, 0.0, 0.0, 1.3
2024, 1, 24, -3.5, -7.2, -11.3, 49.6, 3.7, 9.4, 0.0, 0.0, 0.0
2024, 1, 25, -0.6, -5.1, -9.4, 47.1, 1.8, 9.4, 0.0, 0.0, 0.0
2024, 1, 26, 3.8, -2.4, -8.4, 66.9, 1.2, 8.1, 0.0, 0.0, 0.6
2024, 1, 27, 4.7, -1.5, -6.7, 72.4, 1.3, 8.9, 0.0, 0.0, 1.3
2024, 1, 28, 3.9, -1.9, -6.2, 71.0, 1.3, 5.5, 0.0, 0.0, 2.6
2024, 1, 29, 4.7, -1.1, -6.2, 70.6, 1.2, 9.4, 0.0, 0.0, 1.5
2024, 1, 30, 7.7, 0.2, -5.8, 64.4, 0.9, 9.5, 0.0, 0.0, 2.4
2024, 1, 31, 11.5, 4.2, -1.7, 55.8, 1.3, 8.9, 0.0, 0.0, 2.4
2024, 2, 1, 6.7, 1.9, -0.5, 69.6, 1.5, 2.3, 0.0, 0.0, 6.3
2024, 2, 2, 5.9, 1.3, -2.2, 73.3, 1.1, 3.7, 0.0, 0.0, 6.5
2024, 2, 3, 8.2, 3.2, -3.3, 77.0, 1.3, 0.2, 0.6, 0.0, 8.9
2024, 2, 4, 10.9, 6.5, 1.5, 71.1, 1.6, 3.1, 0.0, 0.0, 8.9
2024, 2, 5, 7.6, 2.8, 0.6, 86.8, 2.9, 0.0, 4.7, 0.2, 10.0
2024, 2, 6, 3.7, 1.5, 0.4, 79.0, 1.6, 0.0, 0.0, 0.2, 9.1
2024, 2, 7, 2.9, 0.0, -2.4, 78.0, 1.5, 0.3, 0.0, 0.0, 6.4
2024, 2, 8, 5.6, -0.4, -4.8, 71.8, 1.2, 8.6, 0.0, 0.0, 2.0
2024, 2, 9, 5.8, 0.0, -4.1, 72.1, 1.8, 8.2, 0.0, 0.0, 2.5
2024, 2, 10, 7.0, 0.5, -3.7, 73.9, 1.6, 9.0, 0.0, 0.0, 0.3
2024, 2, 11, 6.0, 0.3, -5.0, 77.3, 1.6, 6.5, 0.0, 0.0, 1.8
2024, 2, 12, 10.6, 2.8, -3.7, 67.6, 1.4, 9.6, 0.0, 0.0, 0.0
2024, 2, 13, 14.1, 7.6, -0.1, 69.5, 1.9, 5.7, 0.0, 0.0, 2.5
2024, 2, 14, 18.0, 11.6, 7.5, 78.9, 1.4, 4.7, 0.0, 0.0, 7.5
2024, 2, 15, 10.4, 4.1, 0.1, 85.6, 2.5, 0.0, 6.4, 0.0, 7.9
2024, 2, 16, 7.7, 1.3, -3.3, 72.6, 1.3, 8.6, 0.0, 0.0, 1.6
2024, 2, 17, 11.8, 3.2, -3.3, 79.5, 1.0, 6.7, 0.0, 0.0, 1.5
2024, 2, 18, 10.0, 5.9, -1.1, 82.9, 2.0, 0.9, 17.8, 0.0, 7.3
2024, 2, 19, 11.8, 8.3, 4.1, 96.3, 1.8, 0.0, 10.9, 0.0, 9.8
2024, 2, 20, 7.6, 5.0, 2.9, 86.4, 2.2, 0.0, 2.2, 0.0, 9.6
2024, 2, 21, 4.9, 2.9, 0.8, 90.9, 2.9, 0.0, 21.5, 0.3, 10.0
2024, 2, 22, 2.0, 0.8, -0.1, 84.0, 2.4, 0.0, 7.9, 5.9, 9.8
2024, 2, 23, 6.2, 2.5, -0.3, 65.4, 2.9, 5.0, 0.0, 3.8, 7.8
2024, 2, 24, 6.0, 2.2, -0.1, 67.0, 3.9, 2.9, 1.3, 0.0, 8.4
2024, 2, 25, 6.2, 2.6, -0.1, 83.1, 1.5, 1.0, 1.5, 0.0, 6.8
2024, 2, 26, 9.5, 3.0, -2.3, 73.1, 1.3, 8.1, 0.0, 0.0, 2.8
2024, 2, 27, 9.2, 5.4, 0.5, 50.6, 2.5, 6.9, 0.0, 0.0, 8.0
2024, 2, 28, 10.0, 5.9, 3.6, 61.5, 1.6, 2.3, 0.0, 0.0, 8.4
2024, 2, 29, 9.5, 4.6, 0.9, 65.8, 1.8, 0.1, 0.0, 0.0, 8.0
2024, 3, 1, 0.9, -3.3, -6.5, 37.6, 4.6, 10.3, 0.0, 0.0, 0.1
2024, 3, 2, 4.4, -0.7, -8.5, 57.0, 2.9, 6.5, 0.0, 0.0, 4.4
2024, 3, 3, 9.3, 3.9, -0.7, 78.3, 2.0, 5.9, 0.0, 0.0, 2.1
2024, 3, 4, 11.2, 5.1, -2.3, 59.4, 1.3, 8.3, 0.0, 0.0, 4.5
2024, 3, 5, 10.7, 8.3, 6.1, 48.6, 2.2, 0.0, 0.0, 0.0, 9.0
2024, 3, 6, 11.2, 6.3, 2.7, 59.8, 1.7, 3.1, 0.0, 0.0, 5.0
2024, 3, 7, 7.9, 4.3, 1.7, 58.0, 3.0, 5.3, 0.0, 0.0, 4.6
2024, 3, 8, 6.3, 2.4, -1.0, 49.3, 3.4, 10.7, 0.0, 0.0, 1.1
2024, 3, 9, 6.4, 1.3, -3.7, 50.9, 2.0, 11.0, 0.0, 0.0, 0.0
2024, 3, 10, 10.8, 3.1, -4.2, 60.4, 1.5, 11.0, 0.0, 0.0, 1.1
2024, 3, 11, 11.2, 5.9, 0.5, 63.6, 1.3, 0.6, 0.0, 0.0, 7.0
2024, 3, 12, 10.5, 5.7, 2.1, 82.5, 1.3, 1.1, 2.4, 0.0, 5.9
2024, 3, 13, 11.5, 5.2, -0.8, 65.9, 2.0, 10.5, 0.0, 0.0, 0.4
2024, 3, 14, 14.8, 7.1, 0.7, 65.0, 1.9, 10.9, 0.0, 0.0, 0.0
2024, 3, 15, 14.6, 7.6, 1.5, 69.1, 1.9, 10.8, 0.0, 0.0, 0.0
2024, 3, 16, 18.4, 9.5, 1.7, 62.8, 1.5, 8.4, 0.0, 0.0, 3.8
2024, 3, 17, 11.8, 8.5, 4.6, 60.8, 3.0, 7.5, 0.5, 0.0, 7.5
2024, 3, 18, 13.2, 6.3, -0.2, 45.0, 1.9, 10.0, 0.0, 0.0, 3.0
2024, 3, 19, 9.9, 5.8, 3.2, 73.5, 3.7, 3.6, 1.9, 0.0, 7.0
2024, 3, 20, 7.9, 4.1, 1.0, 63.4, 3.7, 9.9, 0.0, 0.0, 1.1
2024, 3, 21, 10.6, 4.3, -2.4, 63.0, 1.7, 11.1, 0.0, 0.0, 1.8
2024, 3, 22, 15.7, 10.4, 2.5, 67.9, 3.2, 5.0, 2.1, 0.0, 8.0
2024, 3, 23, 18.8, 12.9, 8.8, 78.4, 2.1, 10.1, 0.0, 0.0, 5.1
2024, 3, 24, 22.5, 15.1, 7.4, 70.4, 1.9, 8.7, 0.0, 0.0, 4.3
2024, 3, 25, 14.2, 10.5, 7.3, 0.0, 3.2, 0.0, 3.5, 0.0, 9.5
2024, 3, 26, 11.1, 7.0, 3.4, 78.6, 2.0, 2.7, 15.7, 0.0, 8.0
2024, 3, 27, 16.2, 9.5, 3.1, 72.1, 1.4, 9.0, 0.0, 0.0, 4.6
2024, 3, 28, 11.5, 9.7, 7.7, 85.1, 1.7, 0.0, 2.2, 0.0, 9.1
2024, 3, 29, 11.7, 7.4, 3.9, 78.8, 2.5, 3.3, 1.9, 0.0, 4.6
2024, 3, 30, 18.1, 8.4, 1.4, 64.6, 1.9, 7.4, 0.0, 0.0, 2.3
2024, 3, 31, 16.9, 9.7, 1.2, 43.5, 1.7, 9.6, 0.0, 0.0, 3.0
2024, 4, 1, 18.3, 10.6, 3.0, 51.0, 1.5, 11.6, 0.0, 0.0, 0.3
2024, 4, 2, 23.3, 14.3, 4.4, 0.0, 1.2, 10.5, 0.0, 0.0, 3.9
2024, 4, 3, 16.3, 14.7, 12.8, 79.6, 1.6, 0.0, 8.5, 0.0, 9.3
2024, 4, 4, 19.2, 15.0, 11.4, 61.1, 2.5, 5.6, 0.0, 0.0, 6.8
2024, 4, 5, 17.9, 13.0, 8.2, 54.4, 2.5, 6.4, 0.0, 0.0, 5.5
2024, 4, 6, 17.5, 10.7, 5.1, 54.8, 1.3, 5.1, 0.0, 0.0, 4.3
2024, 4, 7, 22.8, 13.0, 4.2, 51.6, 1.4, 11.5, 0.0, 0.0, 1.6
2024, 4, 8, 21.5, 14.0, 8.3, 0.0, 1.4, 2.8, 0.0, 0.0, 8.3
2024, 4, 9, 20.0, 14.4, 8.1, 40.3, 2.4, 11.7, 0.0, 0.0, 0.8
2024, 4, 10, 18.7, 13.2, 9.6, 65.4, 2.1, 3.8, 0.0, 0.0, 7.4
2024, 4, 11, 21.1, 14.7, 10.4, 0.0, 1.1, 4.3, 0.0, 0.0, 5.8
2024, 4, 12, 23.5, 16.0, 9.0, 66.3, 1.5, 10.6, 0.0, 0.0, 3.0
2024, 4, 13, 26.3, 16.9, 9.0, 62.3, 1.5, 11.9, 0.0, 0.0, 0.0
2024, 4, 14, 27.9, 18.6, 9.5, 52.1, 1.4, 11.6, 0.0, 0.0, 3.0
2024, 4, 15, 19.4, 15.1, 10.7, 81.4, 2.5, 0.0, 17.1, 0.0, 9.1
2024, 4, 16, 18.1, 12.8, 9.3, 82.1, 2.2, 6.7, 4.4, 0.0, 4.0
2024, 4, 17, 21.0, 13.7, 8.0, 65.9, 1.8, 11.1, 0.0, 0.0, 5.6
2024, 4, 18, 23.2, 15.0, 7.6, 59.0, 1.7, 11.7, 0.0, 0.0, 0.0
2024, 4, 19, 23.7, 15.8, 8.0, 58.9, 1.5, 10.3, 0.0, 0.0, 4.3
2024, 4, 20, 16.1, 14.2, 13.1, 79.3, 2.0, 0.0, 6.3, 0.0, 9.8
2024, 4, 21, 19.8, 17.0, 13.2, 65.9, 2.4, 0.2, 0.0, 0.0, 9.3
